year,score,votes,budget,gross,runtime,PG,PG-13,R,Action,Adventure,Comedy,Crime,Drama,Horror
1981,7.4,27000.0,5500000.0,11492915.0,123.0,0,0,1,1,0,0,0,0,0
1981,4.9,7600.0,20000000.0,32492674.0,116.0,0,0,1,0,0,0,0,1,0
1981,7.0,60000.0,5000000.0,42368025.0,110.0,1,0,0,0,1,0,0,0,0
1981,6.8,4200.0,20000000.0,50427646.0,107.0,1,0,0,0,0,1,0,0,0
1981,6.1,61000.0,1250000.0,21722776.0,87.0,0,0,1,0,0,0,0,0,1
1981,6.8,51000.0,20000000.0,14225876.0,103.0,0,0,1,0,0,0,0,0,1
1981,6.7,94000.0,28000000.0,54813222.0,127.0,1,0,0,1,0,0,0,0,0
1981,6.5,77000.0,2500000.0,25533818.0,92.0,0,0,1,0,0,0,0,0,1
1981,6.8,17000.0,14000000.0,35856053.0,126.0,1,0,0,0,0,0,0,1,0
1981,7.6,29000.0,20000000.0,119285432.0,109.0,1,0,0,0,0,0,0,1,0
1981,6.9,12000.0,12000000.0,40716963.0,116.0,1,0,0,0,0,0,0,1,0
1981,6.7,29000.0,10000000.0,10853418.0,116.0,1,0,0,0,0,0,0,1,0
1981,6.9,27000.0,7000000.0,95461682.0,97.0,1,0,0,0,0,1,0,0,0
1981,5.8,7300.0,20000000.0,15965924.0,91.0,1,0,0,0,0,1,0,0,0
1981,6.6,11000.0,3000000.0,19739822.5,94.0,0,0,1,0,0,0,0,0,1
1981,6.9,47000.0,11000000.0,31672907.0,92.0,0,0,1,0,0,1,0,0,0
1981,6.6,32000.0,1000000.0,17985893.0,91.0,0,0,1,0,0,0,0,0,1
1981,6.7,16000.0,18000000.0,14110013.0,109.0,1,0,0,1,0,0,0,0,0
1981,6.9,5300.0,3000000.0,1752634.0,109.0,0,0,1,0,0,0,1,0,0
1981,7.3,21000.0,12500000.0,20962615.0,100.0,0,0,1,0,1,0,0,0,0
1981,5.6,19000.0,5000000.0,20471382.0,108.0,0,0,1,0,0,0,0,0,1
1981,5.2,3400.0,2800000.0,26279000.0,87.0,0,0,1,0,0,1,0,0,0
1981,6.6,22000.0,12000000.0,12376625.0,122.0,0,0,1,0,0,0,1,0,0
1981,7.3,9000.0,20000000.0,14920781.0,155.0,1,0,0,0,0,0,0,1,0
1981,5.6,5200.0,2500000.0,8279042.0,100.0,0,0,1,0,0,0,0,0,1
1981,6.0,4500.0,8500000.0,6400000.0,103.0,0,0,1,0,0,0,1,0,0
1981,7.4,38000.0,20000000.0,5732587.0,110.0,1,0,0,0,1,0,0,0,0
1981,6.6,28000.0,16000000.0,17374595.0,109.0,0,0,1,1,0,0,0,0,0
1981,7.2,17000.0,20000000.0,19739822.5,106.0,0,0,1,1,0,0,0,0,0
1981,6.4,5700.0,12000000.0,14867086.0,122.0,0,0,1,0,0,1,0,0,0
1981,6.8,21000.0,400000.0,123843.0,87.0,0,0,1,0,0,0,0,0,1
1981,6.3,7900.0,20000000.0,23371905.0,110.0,0,0,1,0,0,0,0,1,0
1981,6.3,19000.0,20000000.0,5672031.0,90.0,0,0,1,0,0,0,0,0,1
1981,5.9,13000.0,20000000.0,7886857.0,96.0,0,0,1,0,0,0,0,0,1
1981,6.5,5700.0,26000000.0,636796.0,107.0,0,0,1,0,0,0,0,1,0
1981,7.0,13000.0,20000000.0,26890068.0,124.0,0,0,1,0,0,0,0,1,0
1981,6.3,7500.0,10000000.0,12850276.0,108.0,0,0,1,0,0,0,1,0,0
1981,6.1,4900.0,8000000.0,19739822.5,93.0,1,0,0,0,0,0,0,1,0
1981,6.4,18000.0,5000000.0,19905359.0,99.0,0,0,1,1,0,0,0,0,0
1981,6.2,7100.0,20000000.0,37000000.0,88.0,0,0,1,0,0,1,0,0,0
1981,6.3,5600.0,20000000.0,35610100.0,122.0,0,0,1,1,0,0,0,0,0
1981,5.6,7600.0,8500000.0,29916207.0,94.0,0,0,1,0,0,1,0,0,0
1981,5.9,1300.0,20000000.0,237000.0,87.0,0,0,1,0,0,1,0,0,0
1981,6.3,9400.0,17000000.0,10626725.0,115.0,0,0,1,0,0,0,0,0,1
1981,5.5,4400.0,20000000.0,5165432.0,86.0,0,0,1,0,0,1,0,0,0
1981,7.5,7600.0,8600000.0,8124257.0,167.0,0,0,1,0,0,0,1,0,0
1981,5.5,5700.0,20000000.0,2447576.0,104.0,0,0,1,0,0,0,0,1,0
1981,6.2,4800.0,20000000.0,15578237.0,103.0,1,0,0,0,0,1,0,0,0
1981,5.8,2600.0,20000000.0,5229643.0,92.0,0,0,1,0,0,0,0,0,1
1981,6.7,5800.0,20000000.0,29200000.0,125.0,0,0,1,0,0,0,1,0,0
1981,6.0,2400.0,800000.0,1118634.0,84.0,0,0,1,0,0,0,0,0,1
1981,6.2,4100.0,20000000.0,19739822.5,93.0,1,0,0,1,0,0,0,0,0
1981,5.4,2600.0,20000000.0,18826490.0,98.0,1,0,0,0,0,1,0,0,0
1981,5.6,2600.0,6000000.0,9566593.0,92.0,1,0,0,0,0,1,0,0,0
1981,5.5,4500.0,20000000.0,20259961.0,88.0,1,0,0,0,0,1,0,0,0
1981,6.0,891.0,20000000.0,14923752.0,112.0,1,0,0,0,0,0,0,1,0
1981,6.3,1300.0,20000000.0,12042.0,101.0,0,0,1,0,0,0,0,1,0
1981,4.9,3600.0,250000.0,19739822.5,96.0,0,0,1,0,0,0,0,0,1
1981,5.1,4900.0,8000000.0,26154211.0,93.0,1,0,0,0,0,1,0,0,0
1981,6.5,5300.0,22000000.0,9171289.0,108.0,0,0,1,0,0,0,0,1,0
1981,5.1,2000.0,18000000.0,12617845.0,98.0,1,0,0,1,0,0,0,0,0
1981,5.2,1300.0,14000000.0,2022771.0,118.0,1,0,0,0,1,0,0,0,0
1981,5.6,2400.0,20000000.0,1169875.0,88.0,0,0,1,0,0,0,0,0,1
1981,5.5,3600.0,3800000.0,19739822.5,106.0,0,0,1,1,0,0,0,0,0
1981,6.8,1100.0,2700000.0,3256082.0,103.0,0,0,1,0,0,0,0,1,0
1981,5.9,1600.0,20000000.0,14492125.0,117.0,0,0,1,0,0,0,0,1,0
1981,6.5,4500.0,10000000.0,7258543.0,96.0,0,0,1,0,0,1,0,0,0
1981,6.1,2900.0,11000000.0,31261269.0,94.0,0,0,1,0,0,1,0,0,0
1981,7.0,3600.0,20000000.0,2863642.0,93.0,0,0,1,0,0,1,0,0,0
1981,4.3,1300.0,12000000.0,2154696.0,78.0,1,0,0,0,0,1,0,0,0
1981,5.6,829.0,20000000.0,11809387.0,94.0,0,0,1,0,1,0,0,0,0
1981,5.0,761.0,3500000.0,17569027.0,100.0,1,0,0,0,0,1,0,0,0
1981,6.8,1400.0,20000000.0,1976198.0,94.0,0,0,1,0,0,0,0,1,0
1981,7.3,2700.0,13000000.0,8206145.0,119.0,0,0,1,0,0,1,0,0,0
1981,2.7,659.0,46000000.0,5200986.0,140.0,1,0,0,0,0,0,0,1,0
1981,5.5,1700.0,14000000.0,4454295.0,87.0,0,0,1,0,0,1,0,0,0
1981,5.6,1100.0,12000000.0,3702028.0,100.0,1,0,0,0,1,0,0,0,0
1981,5.4,1100.0,16000000.0,10851261.0,116.0,0,0,1,0,0,0,0,1,0
1981,6.5,1300.0,20000000.0,25524778.0,120.0,0,0,1,0,0,1,0,0,0
1981,5.2,928.0,24000000.0,2004742.0,107.0,1,0,0,1,0,0,0,0,0
1981,4.9,920.0,20000000.0,18838812.0,94.0,1,0,0,0,0,1,0,0,0
1981,5.5,384.0,2000000.0,1791147.0,90.0,1,0,0,1,0,0,0,0,0
1981,2.9,674.0,20000000.0,19739822.5,82.0,0,0,1,0,0,0,0,0,1
1981,5.0,1200.0,20000000.0,16000000.0,96.0,1,0,0,0,0,1,0,0,0
1981,5.8,782.0,20000000.0,6892098.0,112.0,0,0,1,0,0,0,1,0,0
1981,6.3,228.0,20000000.0,1622898.0,94.0,1,0,0,0,0,0,0,1,0
1982,7.2,98000.0,4500000.0,27092880.0,90.0,0,0,1,0,0,1,0,0,0
1982,8.1,710000.0,28000000.0,41676878.0,117.0,0,0,1,1,0,0,0,0,0
